Activation,Epoch,RMSE,std_rmse
capped,0,1.9401363730430603,0.06501079796045466
capped,1,1.3076601147651672,0.043489761667161154
capped,2,1.2456161737442017,0.11486808508399464
capped,3,1.1267509937286377,0.17855488557993626
capped,4,0.9719453652699789,0.1761006107185228
capped,5,0.860205868879954,0.1406562603164955
capped,6,0.7852763513724009,0.11042512771470593
capped,7,0.7471988737583161,0.07687978191772928
capped,8,0.7087231596310933,0.0566060034591329
capped,9,0.6957462012767792,0.050609269335179126
capped,10,0.6763567705949147,0.04121188806552517
capped,11,0.6715186715126038,0.05400999561765978
capped,12,0.6516052444775899,0.03829263488514906
capped,13,0.6437459627787272,0.040519530844342934
capped,14,0.6551781455675761,0.08485967022138242
capped,15,0.6458840986092885,0.04853002858849315
capped,16,0.6293957928816477,0.025326301973145508
capped,17,0.6177541931470235,0.03619575776634912
capped,18,0.6224319875240326,0.02932763213820887
capped,19,0.6205181201299032,0.03684359395131169
capped,20,0.6133673826853434,0.041912051475974266
capped,21,0.6122876226902008,0.027747408593242692
capped,22,0.6154287974039714,0.04039855932813151
capped,23,0.613126415014267,0.03755931594852202
capped,24,0.6174686630566915,0.040186427557961625
capped,25,0.6132551987965902,0.03284163889772426
capped,26,0.6090092460314432,0.02949253431520722
capped,27,0.6061479429403941,0.0383351349776016
capped,28,0.6103677213191986,0.040529068543382896
capped,29,0.6098152915636699,0.03297051399655051
capped,30,0.6011817415555318,0.03299927361821554
capped,31,0.5982523341973622,0.039208822310584326
capped,32,0.6029725054899852,0.032771622348204237
capped,33,0.5998452405134836,0.03347688723005268
capped,34,0.5956133266290029,0.029229897928931384
capped,35,0.5966354827086131,0.03441261099623668
capped,36,0.6021098911762237,0.0344094930253908
capped,37,0.6018713553746541,0.029298985862876503
capped,38,0.6107773025830586,0.0518002257684338
capped,39,0.6069350798924764,0.041342365782217526
capped,40,0.6002306163311004,0.03771110285710624
capped,41,0.5950145761171977,0.036264619423933414
capped,42,0.6040893574555715,0.037010795621323214
capped,43,0.599716192483902,0.03219099455742561
capped,44,0.5941420376300812,0.03273498609319999
capped,45,0.5933308144410451,0.04856458125340152
capped,46,0.5962186932563782,0.03265049688476002
capped,47,0.6080012261867523,0.038584074566149935
capped,48,0.5992775360743204,0.03583757985333601
capped,49,0.6009575287501018,0.03547293252768116
capped,50,0.5936776022116343,0.03537049280960063
capped,51,0.5970233321189881,0.04003659120991548
capped,52,0.5962732950846354,0.0313082962096174
capped,53,0.6034168839454651,0.03948711549577145
capped,54,0.6020112017790477,0.0322138806608552
capped,55,0.6054327130317688,0.03583703093075119
capped,56,0.5994394600391388,0.03114389217854402
capped,57,0.6008603672186533,0.029507158804983447
capped,58,0.6050402045249939,0.0377127979151549
capped,59,0.592085740963618,0.0357267203068075
capped,60,0.5923107186953227,0.039413059079789765
capped,61,0.5929071684678395,0.0413864483086584
capped,62,0.5926042437553406,0.03647465055044841
capped,63,0.5893197794755299,0.028925449301170563
capped,64,0.596995085477829,0.028490633146311135
capped,65,0.597067528963089,0.03959765071159377
capped,66,0.6068791051705679,0.061588301773324715
capped,67,0.6000503182411194,0.0474347625383475
capped,68,0.5986665507157644,0.04202248719008222
capped,69,0.5910403152306875,0.04258979483601159
capped,70,0.5899214764436086,0.03229993600321698
capped,71,0.5868104179700215,0.034862053322275
capped,72,0.5911099553108216,0.03255623810867948
capped,73,0.5894892831643422,0.02825606381476819
capped,74,0.5850666085879008,0.031839455688852485
capped,75,0.5886263728141785,0.042605221538634226
capped,76,0.5990269958972931,0.039763293649775815
capped,77,0.6063738584518432,0.046102260407598315
capped,78,0.5946362753709157,0.03563783010352166
