Date,Open,High,Low,Close,Adj Close,Volume,Ticker,selic,oil_price,exchange_rate,ipca,bovespa
2020-02-27,25.719999313354492,26.530000686645508,24.889999389648438,25.299999237060547,9.002284049987793,100112100,PETR4.SA,0.016137,52.19,4.4848,,102984.0
2020-02-28,25.15999984741211,25.559999465942383,24.6200008392334,25.34000015258789,9.016517639160156,89095300,PETR4.SA,0.016137,51.31,4.4848,,104172.0
2020-03-02,25.5,26.75,25.479999542236328,26.530000686645508,9.43994426727295,71596400,PETR4.SA,0.016137,52.52,4.4724,,106625.0
2020-03-03,26.56999969482422,27.479999542236328,25.760000228881836,26.049999237060547,9.269152641296387,86855700,PETR4.SA,0.016137,52.24,4.5132,,105537.0
2020-03-04,26.90999984741211,26.940000534057617,26.239999771118164,26.889999389648438,9.568039894104004,42320500,PETR4.SA,0.016137,51.86,4.5834,,107224.0
2020-03-05,26.329999923706055,26.670000076293945,24.709999084472656,25.290000915527344,8.998724937438965,69722300,PETR4.SA,0.016137,51.29,4.6062,,102233.0
2020-03-06,24.100000381469727,24.1299991607666,22.549999237060547,22.829999923706055,8.123406410217285,138597600,PETR4.SA,0.016137,45.6,4.6062,,97997.0
2020-03-09,17.809999465942383,18.229999542236328,15.40999984741211,16.049999237060547,5.710936069488525,254813800,PETR4.SA,0.016137,35.33,4.7229,,86067.0
2020-03-10,18.649999618530273,18.649999618530273,16.3700008392334,17.559999465942383,6.248226165771484,170478000,PETR4.SA,0.016137,35.57,4.6421,,92214.0
2020-03-11,16.700000762939453,17.1299991607666,15.0,15.850000381469727,5.639771461486816,132482400,PETR4.SA,0.016137,34.45,4.8138,,85171.0
2020-03-12,13.65999984741211,13.859999656677246,11.079999923706055,12.600000381469727,4.483351230621338,151535900,PETR4.SA,0.016137,31.02,4.7902,,72583.0
2020-03-13,15.100000381469727,15.399999618530273,12.699999809265137,15.399999618530273,5.47965145111084,174972600,PETR4.SA,0.016137,32.25,4.7902,,82678.0
2020-03-16,12.90999984741211,14.100000381469727,12.550000190734863,13.09000015258789,4.6577043533325195,126432800,PETR4.SA,0.016137,27.98,4.999,,71168.0
2020-03-17,13.600000381469727,13.84000015258789,13.0,13.0,4.625679969787598,149228500,PETR4.SA,0.016137,27.97,5.0097,,74617.0
2020-03-18,11.789999961853027,12.270000457763672,10.869999885559082,11.289999961853027,4.0172247886657715,162515200,PETR4.SA,0.016137,22.79,5.10396,,66895.0
2020-03-19,11.069999694824219,13.069999694824219,10.850000381469727,12.210000038146973,4.344581127166748,157065200,PETR4.SA,0.014227,23.98,5.0942,,68332.0
2020-03-20,13.109999656677246,13.5,11.829999923706055,12.0,4.2698588371276855,149029900,PETR4.SA,0.014227,25.55,5.0942,,67069.0
2020-03-23,12.109999656677246,12.180000305175781,11.279999732971191,11.5,4.091947555541992,107092400,PETR4.SA,0.014227,23.75,5.1417,,63570.0
2020-03-24,12.569999694824219,13.539999961853027,12.279999732971191,13.25,4.714635848999023,114259200,PETR4.SA,0.014227,24.5,5.0981,,69729.0
2020-03-25,13.239999771118164,14.789999961853027,12.829999923706055,14.319999694824219,5.095364093780518,158286200,PETR4.SA,0.014227,25.62,5.0337,,74956.0
2020-03-26,14.399999618530273,15.1899995803833,13.8100004196167,14.390000343322754,5.120272159576416,130618400,PETR4.SA,0.014227,23.55,5.0226,,77710.0
2020-03-27,13.300000190734863,13.6899995803833,13.25,13.300000190734863,4.732426643371582,101405900,PETR4.SA,0.014227,22.39,5.0226,,73429.0
2020-03-30,13.149999618530273,13.739999771118164,12.829999923706055,13.380000114440918,4.760892391204834,110947200,PETR4.SA,0.014227,19.19,5.1927,,74640.0
2020-03-31,13.600000381469727,14.539999961853027,13.600000381469727,13.989999771118164,4.977943420410156,156116500,PETR4.SA,0.014227,14.85,5.2035,,73020.0
2020-04-01,13.449999809265137,14.550000190734863,13.319999694824219,14.300000190734863,5.088247776031494,114455000,PETR4.SA,0.014227,14.97,5.2482,0.25,70967.0
2020-04-02,15.399999618530273,16.549999237060547,15.010000228881836,15.510000228881836,5.518791675567627,234951200,PETR4.SA,0.014227,20.24,5.2553,0.25,72253.0
2020-04-03,16.299999237060547,16.360000610351562,14.930000305175781,15.34000015258789,5.4583024978637695,142898700,PETR4.SA,0.014227,24.33,5.2553,0.25,69538.0
2020-04-06,16.049999237060547,16.100000381469727,15.180000305175781,15.770000457763672,5.611306190490723,123934200,PETR4.SA,0.014227,22.58,5.2853,0.25,74073.0
2020-04-07,16.610000610351562,17.06999969482422,16.34000015258789,16.399999618530273,5.835473537445068,140498900,PETR4.SA,0.014227,22.1,5.2217,0.25,76358.0
2020-04-08,16.5,17.530000686645508,16.399999618530273,17.31999969482422,6.162829399108887,116151600,PETR4.SA,0.014227,25.22,5.1235,0.25,78625.0
2020-04-09,17.940000534057617,18.690000534057617,16.5,16.81999969482422,5.984918594360352,185771300,PETR4.SA,0.014227,20.23,5.1058,0.25,77682.0
2020-04-13,16.81999969482422,17.09000015258789,16.329999923706055,16.93000030517578,6.024057865142822,93724000,PETR4.SA,0.014227,20.23,5.1985,0.25,78836.0
2020-04-14,17.020000457763672,17.299999237060547,16.610000610351562,16.729999542236328,5.9528937339782715,91017200,PETR4.SA,0.014227,21.74,5.162,0.25,79918.0
2020-04-15,16.040000915527344,16.469999313354492,15.859999656677246,16.3799991607666,5.82835578918457,86749600,PETR4.SA,0.014227,19.8,5.237,0.25,78831.0
2020-04-16,16.670000076293945,16.760000228881836,15.529999732971191,15.720000267028809,5.593515396118164,115633300,PETR4.SA,0.014227,18.69,5.2309,0.25,77812.0
2020-04-17,15.75,16.1299991607666,15.5600004196167,16.1299991607666,5.739401340484619,116733000,PETR4.SA,0.014227,19.75,5.2309,0.25,78990.0
2020-04-20,15.479999542236328,16.329999923706055,15.34000015258789,15.949999809265137,5.675353527069092,133739400,PETR4.SA,0.014227,17.36,5.3154,0.25,78973.0
2020-04-22,15.850000381469727,16.75,15.779999732971191,16.75,5.960011005401611,114967100,PETR4.SA,0.014227,13.77,5.4569,0.25,80687.0
2020-04-23,17.200000762939453,17.43000030517578,16.6200008392334,16.950000762939453,6.03117561340332,94759000,PETR4.SA,0.014227,15.06,5.5331,0.25,79673.0
2020-04-24,16.690000534057617,16.790000915527344,15.279999732971191,15.949999809265137,5.675353527069092,161188800,PETR4.SA,0.014227,15.87,5.5331,0.25,75331.0
2020-04-27,16.139999389648438,16.530000686645508,15.779999732971191,16.450000762939453,5.853264331817627,85944900,PETR4.SA,0.014227,15.17,5.6526,0.25,78239.0
2020-04-28,17.040000915527344,17.25,16.6299991607666,17.25,6.1379218101501465,91613600,PETR4.SA,0.014227,15.6,5.4974,0.25,81312.0
2020-04-29,17.799999237060547,18.479999542236328,17.530000686645508,18.200000762939453,6.475952625274658,94528400,PETR4.SA,0.014227,17.86,5.3348,0.25,83171.0
2020-04-30,17.979999542236328,18.420000076293945,17.700000762939453,18.049999237060547,6.422578811645508,80263900,PETR4.SA,0.014227,18.11,5.486,0.25,80506.0
2020-05-04,17.43000030517578,17.6200008392334,17.18000030517578,17.3799991607666,6.184177875518799,60268400,PETR4.SA,0.014227,20.4,5.5406,0.25,78876.0
2020-05-05,17.899999618530273,18.479999542236328,17.8700008392334,17.940000534057617,6.3834381103515625,75043400,PETR4.SA,0.014227,25.46,5.5781,0.25,79471.0
2020-05-06,17.8700008392334,18.059999465942383,17.280000686645508,17.280000686645508,6.148595809936523,67937500,PETR4.SA,0.014227,24.2,5.7152,0.25,79064.0
