,Activation,Epoch,RMSE
0,relu,0,11073.96484375
1,relu,1,2.2863969802856445
2,relu,2,1.5433728694915771
3,relu,3,1.4540761709213257
4,relu,4,1.327478051185608
5,relu,5,1.2918850183486938
6,relu,6,1.4184386730194092
7,relu,7,1.0282257795333862
8,relu,8,0.7543470859527588
9,relu,9,0.728420615196228
10,relu,10,0.7816427946090698
11,relu,11,0.724371612071991
12,relu,12,1.1278423070907593
13,relu,13,0.6845431923866272
14,relu,14,1.640516757965088
15,relu,15,1.2747193574905396
16,relu,16,1.0346723794937134
17,relu,17,4.818625450134277
18,relu,18,2.3636248111724854
19,relu,19,0.6428946852684021
20,relu,20,1.858859658241272
21,relu,21,3.2643823623657227
22,relu,22,46.518550872802734
23,relu,23,6.177353382110596
24,relu,24,11.902146339416504
25,relu,25,49.474693298339844
26,relu,26,16.42792510986328
27,relu,27,1.3324092626571655
28,relu,28,6.226254463195801
29,relu,29,1.8262324333190918
30,relu,30,197.0802764892578
31,relu,31,38.03914260864258
32,relu,32,5.2275800704956055
33,relu,33,0.8648455739021301
34,relu,34,0.8262878060340881
35,relu,35,0.7450439929962158
36,relu,36,0.6831419467926025
37,relu,37,1.43776273727417
38,relu,38,2.2645814418792725
39,relu,39,7.0898308753967285
40,relu,40,2.6695396900177
41,relu,41,0.915600597858429
42,relu,42,8.780811309814453
43,relu,43,31.342239379882812
44,relu,44,4.8171892166137695
45,relu,45,1.3295683860778809
46,relu,46,0.7651568055152893
47,relu,47,3.4352176189422607
48,relu,48,6.967360973358154
49,relu,49,44.83388900756836
50,relu,50,281.02410888671875
51,relu,51,7.908334255218506
52,relu,52,0.7005792856216431
53,relu,53,0.6468783617019653
54,relu,54,0.5673620104789734
55,relu,55,0.5828239321708679
56,relu,56,0.5653759837150574
57,relu,57,0.5809054970741272
58,relu,58,0.7091415524482727
59,relu,59,0.5775971412658691
60,relu,60,0.5455694198608398
61,relu,61,0.53806072473526
62,relu,62,0.5459306836128235
63,relu,63,0.531373143196106
64,relu,64,0.5390299558639526
65,relu,65,0.546850323677063
66,relu,66,0.5402707457542419
67,relu,67,0.5340176820755005
68,relu,68,0.539753258228302
69,relu,69,0.5600922107696533
70,relu,70,0.5503998398780823
71,relu,71,0.611777126789093
72,relu,72,0.5222018361091614
