Date,Open,High,Low,Close,Adj Close,Volume,Ticker,selic,oil_price,exchange_rate,ipca,bovespa
2020-01-02,30.510000228881836,30.700000762939453,30.309999465942383,30.700000762939453,10.923720359802246,37774500,PETR4.SA,0.017089,67.05,4.0234,0.28,118573.0
2020-01-03,30.8799991607666,31.239999771118164,30.450000762939453,30.450000762939453,10.834766387939453,71595600,PETR4.SA,0.017089,69.08,4.0234,0.28,117707.0
2020-01-06,30.43000030517578,30.940000534057617,29.950000762939453,30.809999465942383,10.962862014770508,81844000,PETR4.SA,0.017089,70.25,4.0604,0.28,116878.0
2020-01-07,30.81999969482422,30.8799991607666,30.469999313354492,30.690000534057617,10.92016315460205,32822000,PETR4.SA,0.017089,68.74,4.0662,0.28,116662.0
2020-01-08,30.690000534057617,30.770000457763672,30.239999771118164,30.5,10.852557182312012,48215600,PETR4.SA,0.017089,67.31,4.0628,0.28,116247.0
2020-01-09,30.469999313354492,30.6200008392334,30.25,30.399999618530273,10.816974639892578,36102700,PETR4.SA,0.017089,66.58,4.0921,0.28,115947.0
2020-01-10,30.389999389648438,30.440000534057617,30.1299991607666,30.270000457763672,10.770719528198242,25397500,PETR4.SA,0.017089,66.77,4.0921,0.28,115503.0
2020-01-13,30.350000381469727,30.43000030517578,30.209999084472656,30.329999923706055,10.792065620422363,30676800,PETR4.SA,0.017089,64.14,4.1458,0.28,117325.0
2020-01-14,30.229999542236328,30.270000457763672,29.770000457763672,30.0,10.674647331237793,39796500,PETR4.SA,0.017089,64.45,4.1313,0.28,117632.0
2020-01-15,29.899999618530273,29.93000030517578,29.540000915527344,29.549999237060547,10.514527320861816,34405700,PETR4.SA,0.017089,63.29,4.1742,0.28,116414.0
2020-01-16,29.600000381469727,29.700000762939453,29.329999923706055,29.520000457763672,10.503850936889648,28997400,PETR4.SA,0.017089,64.63,4.1836,0.28,116704.0
2020-01-17,29.719999313354492,29.850000381469727,29.540000915527344,29.850000381469727,10.621273040771484,34908000,PETR4.SA,0.017089,64.05,4.1836,0.28,118478.0
2020-01-20,29.700000762939453,30.100000381469727,29.649999618530273,30.0,10.674647331237793,31241400,PETR4.SA,0.017089,64.63,4.1885,0.28,118862.0
2020-01-21,29.799999237060547,29.940000534057617,29.549999237060547,29.6200008392334,10.539433479309082,28577400,PETR4.SA,0.017089,63.66,4.2109,0.28,117026.0
2020-01-22,29.729999542236328,29.809999465942383,29.270000457763672,29.290000915527344,10.422011375427246,32491500,PETR4.SA,0.017089,62.11,4.1813,0.28,118391.0
2020-01-23,29.09000015258789,29.760000228881836,28.81999969482422,29.649999618530273,10.550108909606934,53752100,PETR4.SA,0.017089,61.26,4.1691,0.28,119528.0
2020-01-24,29.559999465942383,29.780000686645508,29.139999389648438,29.299999237060547,10.425570487976074,36898700,PETR4.SA,0.017089,59.34,4.1691,0.28,118376.0
2020-01-27,28.6299991607666,28.639999389648438,27.670000076293945,28.030000686645508,9.973677635192871,66105300,PETR4.SA,0.017089,58.54,4.2061,0.28,114482.0
2020-01-28,28.43000030517578,29.139999389648438,28.420000076293945,28.799999237060547,10.247658729553223,47259100,PETR4.SA,0.017089,59.37,4.1934,0.28,116479.0
2020-01-29,29.0,29.079999923706055,28.670000076293945,28.850000381469727,10.26545238494873,42297500,PETR4.SA,0.017089,59.46,4.2289,0.28,115385.0
2020-01-30,28.280000686645508,29.040000915527344,28.18000030517578,28.940000534057617,10.297475814819336,44266800,PETR4.SA,0.017089,57.72,4.2422,0.28,115528.0
2020-01-31,28.6299991607666,28.84000015258789,28.309999465942383,28.450000762939453,10.123124122619629,55446700,PETR4.SA,0.017089,57.77,4.2422,0.28,113761.0
2020-02-03,28.520000457763672,28.729999542236328,28.15999984741211,28.18000030517578,10.027050018310547,39452800,PETR4.SA,0.017089,54.0,4.2468,0.68,114629.0
2020-02-04,28.649999618530273,29.040000915527344,28.559999465942383,28.6299991607666,10.18717098236084,57658400,PETR4.SA,0.017089,53.9,4.2537,0.68,115557.0
2020-02-05,29.049999237060547,29.219999313354492,28.389999389648438,28.389999389648438,10.101773262023926,67994500,PETR4.SA,0.017089,55.36,4.2336,0.68,116028.0
2020-02-06,28.700000762939453,29.510000228881836,28.1200008392334,29.18000030517578,10.382872581481934,126114000,PETR4.SA,0.016137,55.18,4.2808,0.68,115190.0
2020-02-07,29.0,29.350000381469727,28.729999542236328,28.93000030517578,10.293917655944824,54514600,PETR4.SA,0.016137,54.53,4.2808,0.68,113770.0
2020-02-10,28.889999389648438,29.1299991607666,28.639999389648438,29.1299991607666,10.365080833435059,45328100,PETR4.SA,0.016137,53.39,4.32097,0.68,112570.0
2020-02-11,29.399999618530273,29.6299991607666,29.260000228881836,29.479999542236328,10.489619255065918,37518200,PETR4.SA,0.016137,54.0,4.32753,0.68,115371.0
2020-02-12,29.639999389648438,30.280000686645508,29.6299991607666,30.1299991607666,10.720903396606445,64851000,PETR4.SA,0.016137,55.54,4.3545,0.68,116674.0
2020-02-13,29.770000457763672,30.209999084472656,29.639999389648438,29.719999313354492,10.575016975402832,55277100,PETR4.SA,0.016137,56.34,4.34677,0.68,115662.0
2020-02-14,29.860000610351562,29.959999084472656,29.34000015258789,29.420000076293945,10.468270301818848,30399900,PETR4.SA,0.016137,57.37,4.34677,0.68,114381.0
2020-02-17,29.6299991607666,29.770000457763672,29.309999465942383,29.360000610351562,10.446920394897461,38684900,PETR4.SA,0.016137,57.83,4.3265,0.68,115309.0
2020-02-18,29.059999465942383,29.770000457763672,28.950000762939453,29.75,10.585691452026367,33890900,PETR4.SA,0.016137,57.35,4.3548,0.68,114977.0
2020-02-19,29.8700008392334,30.549999237060547,29.760000228881836,30.549999237060547,10.870349884033203,44181800,PETR4.SA,0.016137,59.72,4.364,0.68,116518.0
